name,Year,Team,P,P/PA,BatSwing_percent,contact_percent,BattingchanceSwing%,PA,AB,R,TB,RBI,AVG,OBP,SLG,wOBA,WAR,WPA,IsoP,IsoD,BIPA,Spd,PSN,wRC+,RAA-Adj,RP_Run,RAR,WAA,Chance_hit_per,RE24,WPA,PoilOut,PoilMissing,PoilOut%,salary
이택근,2016,넥센,RF,3.86,40.3,83.9,7.1,460,398,64,168,65,0.309,0.389,0.422,0.374,1.93,1.55,0.113,0.08,0.338,3.7,7.47,107.6,5.4,26.2,24.9,-0.1,0.345,6.45,1.55,1,1,4.26,50000
홍성갑,2016,넥센,LF,3.71,49.6,64,12,68,62,4,16,7,0.226,0.294,0.258,0.271,-0.29,-0.11,0.032,0.068,0.318,4,0,39.8,-5.7,3.9,-2.5,-0.6,0.235,-3.68,-0.11,0,1,0,3600
서건창,2016,넥센,2B,3.61,40,89.7,7,646,560,111,247,63,0.325,0.406,0.441,0.389,4.46,4.17,0.116,0.081,0.351,6.8,11.03,116.6,18.9,36.9,56.9,1.8,0.305,32.86,4.17,1,5,4.55,40000
김하성,2016,넥센,SS,4.12,41.3,83.4,8.9,599,526,92,251,84,0.281,0.359,0.477,0.37,3.81,1.12,0.196,0.077,0.297,6.8,23.33,104.8,8.4,34.2,49.4,1.3,0.315,17.47,1.12,0,7,3.45,22000
유재신,2016,넥센,CF,4,40.9,86,8.7,74,62,20,16,6,0.258,0.361,0.258,0.305,-0.01,-0.41,0,0.103,0.32,6.7,0,62.5,-6.2,4.2,-2.1,-0.6,0.35,-1,-0.41,0,2,0,6500
박정음,2016,넥센,CF,3.98,40.8,82.2,8.6,263,223,45,92,26,0.309,0.395,0.413,0.37,1.1,0.81,0.103,0.086,0.385,6.7,6.4,103.8,0.1,15,14.2,-0.1,0.365,1.78,0.81,1,1,5.2,6600
강지광,2016,넥센,LF,3.86,50.5,63.5,8.3,80,66,10,18,7,0.197,0.317,0.273,0.286,-0.26,-0.48,0.076,0.119,0.286,3.6,1,50.7,-7.1,4.6,-3.1,-0.7,0.15,-6.91,-0.48,1,0,0,3000
고종욱,2016,넥센,LF,3.72,50.7,80.1,8.6,566,527,92,240,72,0.334,0.37,0.455,0.373,2.36,4.38,0.121,0.036,0.399,6.9,12.44,105.4,1.1,32.3,26.9,-0.5,0.409,26.01,4.38,2,4,6.57,12000
박동원,2016,넥센,C,3.65,49.5,68.5,10.1,454,411,44,171,70,0.248,0.304,0.416,0.317,0.85,-1.14,0.168,0.055,0.287,2.3,4.94,71.1,-15.4,25.9,20,-0.5,0.252,-8.47,-1.14,0,0,6.33,20000
김태균,2016,한화,DH,4.26,36.7,82.8,7,652,529,94,301,136,0.365,0.476,0.569,0.463,5.5,7.37,0.204,0.111,0.41,2.3,1.92,165.5,47,37.2,65.9,2.5,0.417,94.19,7.37,0,0,0,160000
